EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP
522035.000000,-1641889.446920,-3664875.503199,4939966.755266,1.270336,0.783765,0.938233,1.222526,1.324963
522036.000000,-1641889.408213,-3664875.279311,4939966.091340,1.795984,0.783757,0.938208,1.222501,1.324933
522037.000000,-1641889.313787,-3664875.329709,4939966.269013,1.448132,0.783749,0.938183,1.222477,1.324903
522038.000000,-1641889.133100,-3664875.158390,4939966.392629,1.561340,0.783740,0.938159,1.222453,1.324873
522040.000000,-1641889.258390,-3664875.480388,4939966.122309,1.460847,0.783723,0.938109,1.222404,1.324813
522041.000000,-1641889.363969,-3664875.183373,4939966.253272,1.640118,0.783715,0.938084,1.222379,1.324783
522042.000000,-1641889.059555,-3664875.267982,4939966.559840,1.605752,0.783707,0.938059,1.222355,1.324753
522043.000000,-1641889.407672,-3664875.489779,4939966.237703,1.479889,0.783698,0.938034,1.222330,1.324723
522045.000000,-1641889.227362,-3664875.395274,4939965.821923,1.810600,0.783682,0.937984,1.222281,1.324663
522046.000000,-1641889.470520,-3664875.537604,4939965.970899,1.435893,0.783673,0.937959,1.222256,1.324633
522047.000000,-1641889.347483,-3664875.442052,4939965.825564,1.642222,0.783665,0.937933,1.222231,1.324602
522049.000000,-1641889.271665,-3664875.363854,4939966.366369,1.468472,0.783648,0.937883,1.222182,1.324542
522050.000000,-1641889.321752,-3664875.463051,4939966.083840,1.503994,0.783640,0.937857,1.222157,1.324511
522051.000000,-1641889.203006,-3664875.116899,4939966.042508,1.661054,0.783631,0.937832,1.222132,1.324481
522052.000000,-1641889.058572,-3664875.200490,4939965.812995,1.782248,0.783623,0.937807,1.222107,1.324451
522054.000000,-1641889.162894,-3664875.396275,4939966.018551,1.432438,0.783606,0.937756,1.222057,1.324389
522055.000000,-1641889.253418,-3664875.262361,4939965.856983,1.625483,0.783597,0.937730,1.222032,1.324359
522056.000000,-1641889.214288,-3664875.504475,4939966.392620,1.341561,0.783589,0.937704,1.222007,1.324328
522057.000000,-1641889.183609,-3664875.703392,4939966.405530,1.256858,0.783581,0.937679,1.221982,1.324297
522059.000000,-1641889.213984,-3664875.141897,4939966.268091,1.622630,0.783564,0.937627,1.221932,1.324236
522060.000000,-1641889.278728,-3664875.309117,4939966.098570,1.549385,0.783555,0.937602,1.221906,1.324205
522061.000000,-1641889.357984,-3664874.834153,4939966.508255,1.764294,0.783547,0.937576,1.221881,1.324174
522062.000000,-1641889.098408,-3664875.217595,4939966.108411,1.770437,0.783538,0.937550,1.221856,1.324143
522064.000000,-1641889.169584,-3664875.238798,4939966.012980,1.834961,0.783521,0.937498,1.221805,1.324081
522065.000000,-1641888.888161,-3664875.236122,4939965.801427,1.750433,0.783513,0.937472,1.221780,1.324050
522066.000000,-1641888.760229,-3664874.866595,4939966.020083,1.964006,0.783504,0.937446,1.221754,1.324019
522068.000000,-1641889.076521,-3664874.767475,4939965.829598,1.892468,0.783487,0.937394,1.221703,1.323957
522069.000000,-1641888.827806,-3664874.313822,4939965.578181,2.384847,0.783479,0.937368,1.221678,1.323926
522070.000000,-1641888.858573,-3664874.271349,4939965.406561,2.496159,0.783470,0.937341,1.221652,1.323895
522071.000000,-1641889.364750,-3664874.913685,4939965.849632,1.747009,0.783462,0.937315,1.221627,1.323863
522073.000000,-1641889.169257,-3664874.515515,4939966.176680,2.200092,0.783445,0.937262,1.221575,1.323801
522074.000000,-1641888.786381,-3664874.203002,4939965.777264,2.490330,0.783436,0.937236,1.221550,1.323769
522075.000000,-1641889.048788,-3664874.352548,4939965.819019,2.411641,0.783427,0.937210,1.221524,1.323738
522076.000000,-1641889.068770,-3664874.093916,4939965.398578,2.420931,0.783419,0.937183,1.221498,1.323706
522078.000000,-1641889.233298,-3664874.501264,4939966.050010,2.199566,0.783402,0.937130,1.221446,1.323643
522079.000000,-1641889.088045,-3664874.181089,4939965.866645,2.414888,0.783393,0.937103,1.221420,1.323611
522080.000000,-1641888.914362,-3664874.634928,4939965.711395,2.184574,0.783385,0.937077,1.221394,1.323580
522081.000000,-1641889.466682,-3664874.783184,4939965.849206,2.017303,0.783376,0.937050,1.221368,1.323548
522083.000000,-1641889.059124,-3664875.020758,4939966.212555,1.885819,0.783359,0.936996,1.221316,1.323484
522084.000000,-1641889.019721,-3664874.162224,4939965.617506,2.365899,0.783350,0.936970,1.221290,1.323452
522085.000000,-1641889.295887,-3664874.501349,4939966.535208,1.825488,0.783341,0.936943,1.221264,1.323420
522087.000000,-1641888.936198,-3664874.720128,4939966.206242,1.933260,0.783324,0.936889,1.221211,1.323356
522088.000000,-1641889.162479,-3664874.805172,4939966.369902,1.762461,0.783316,0.936862,1.221185,1.323324
522089.000000,-1641889.131473,-3664875.046464,4939966.577731,1.800581,0.783307,0.936835,1.221159,1.323292
522090.000000,-1641889.066193,-3664874.917240,4939966.161694,1.767053,0.783298,0.936808,1.221133,1.323260
522092.000000,-1641889.022145,-3664874.527273,4939966.027147,2.203199,0.783281,0.936753,1.221080,1.323196
522093.000000,-1641888.822429,-3664874.639650,4939965.430307,2.149713,0.783272,0.936726,1.221053,1.323164
522094.000000,-1641889.072932,-3664875.170899,4939965.946833,1.708556,0.783264,0.936699,1.221027,1.323131
522095.000000,-1641889.402153,-3664874.844707,4939965.568012,2.159404,0.783255,0.936671,1.221000,1.323099
522097.000000,-1641888.999073,-3664874.696432,4939965.750431,2.302880,0.783238,0.936617,1.220947,1.323034
522098.000000,-1641889.144296,-3664874.297419,4939965.360526,2.497004,0.783229,0.936589,1.220921,1.323002
522099.000000,-1641889.194802,-3664874.664327,4939965.862263,2.085282,0.783220,0.936562,1.220894,1.322969
522100.000000,-1641889.220334,-3664874.590606,4939965.812108,2.115561,0.783212,0.936534,1.220867,1.322937
522102.000000,-1641889.002109,-3664874.365373,4939965.761694,2.199244,0.783194,0.936479,1.220814,1.322871
522103.000000,-1641889.283385,-3664874.058307,4939965.417333,2.455890,0.783185,0.936451,1.220787,1.322839
522104.000000,-1641889.177263,-3664874.492699,4939966.378316,1.917347,0.783177,0.936424,1.220760,1.322806
522106.000000,-1641889.094834,-3664874.602424,4939966.167851,2.053002,0.783159,0.936368,1.220706,1.322740
522107.000000,-1641889.075071,-3664874.663822,4939966.052740,1.868647,0.783150,0.936340,1.220679,1.322707
522108.000000,-1641888.857473,-3664874.564882,4939965.858187,2.201384,0.783142,0.936312,1.220652,1.322675
522109.000000,-1641888.754434,-3664874.810026,4939965.736430,2.051770,0.783133,0.936284,1.220625,1.322642
522111.000000,-1641888.687290,-3664874.817847,4939966.114722,1.957353,0.783115,0.936228,1.220571,1.322576
522112.000000,-1641888.974516,-3664874.885996,4939966.114743,1.987427,0.783107,0.936200,1.220544,1.322542
522113.000000,-1641889.168245,-3664875.224338,4939966.521276,1.563102,0.783098,0.936172,1.220517,1.322509
522114.000000,-1641889.000519,-3664874.748055,4939966.219999,1.804803,0.783089,0.936144,1.220489,1.322476
522116.000000,-1641889.360782,-3664874.789534,4939965.732288,2.088962,0.783072,0.936088,1.220435,1.322410
522117.000000,-1641889.273028,-3664875.215010,4939965.706340,2.011511,0.783063,0.936059,1.220408,1.322376
522118.000000,-1641889.629194,-3664875.451441,4939966.048132,1.465578,0.783054,0.936031,1.220380,1.322343
522119.000000,-1641889.440734,-3664875.192923,4939965.793321,1.800988,0.783045,0.936003,1.220353,1.322310
522121.000000,-1641889.209618,-3664875.452657,4939966.636823,1.280127,0.783027,0.935946,1.220298,1.322243
522122.000000,-1641888.997618,-3664875.148484,4939965.917131,1.875320,0.783019,0.935917,1.220270,1.322209
522123.000000,-1641889.136864,-3664875.390139,4939965.543327,1.805006,0.783010,0.935889,1.220243,1.322176
522125.000000,-1641889.281936,-3664874.967624,4939965.766686,2.114322,0.782992,0.935832,1.220188,1.322109
522126.000000,-1641889.111149,-3664874.981856,4939965.535445,2.186682,0.782983,0.935803,1.220160,1.322075
522127.000000,-1641889.245426,-3664874.868497,4939966.246426,1.826569,0.782974,0.935774,1.220132,1.322041
522128.000000,-1641888.985365,-3664874.837125,4939965.781989,1.957132,0.782966,0.935746,1.220104,1.322007
522130.000000,-1641888.990287,-3664874.770802,4939965.577995,2.185393,0.782948,0.935688,1.220049,1.321940
522131.000000,-1641888.967149,-3664875.107540,4939966.468485,1.779807,0.782939,0.935659,1.220021,1.321906
522132.000000,-1641888.855321,-3664874.645607,4939966.167763,2.082725,0.782930,0.935630,1.219993,1.321872
522133.000000,-1641888.908478,-3664874.675334,4939965.692036,2.282703,0.782921,0.935601,1.219965,1.321838
522135.000000,-1641889.034141,-3664874.685549,4939966.447118,1.881291,0.782903,0.935543,1.219909,1.321770
522136.000000,-1641889.153206,-3664874.687635,4939966.294376,1.768438,0.782894,0.935514,1.219881,1.321736
522137.000000,-1641889.258475,-3664874.734531,4939966.196977,1.887941,0.782885,0.935485,1.219853,1.321702
522138.000000,-1641889.411288,-3664874.870059,4939966.063411,1.694749,0.782877,0.935456,1.219825,1.321667
522140.000000,-1641889.480559,-3664875.105990,4939966.528060,1.585987,0.782859,0.935397,1.219769,1.321599
522141.000000,-1641889.113178,-3664874.969144,4939966.256969,1.607789,0.782850,0.935368,1.219740,1.321565
522142.000000,-1641889.127232,-3664874.801879,4939966.066630,1.795258,0.782841,0.935339,1.219712,1.321530
522144.000000,-1641889.472618,-3664874.695260,4939966.325272,1.836916,0.782823,0.935280,1.219656,1.321461
522145.000000,-1641888.768051,-3664874.670043,4939965.827246,2.271941,0.782814,0.935250,1.219627,1.321427
522146.000000,-1641888.989126,-3664874.469076,4939965.597960,2.333998,0.782805,0.935221,1.219599,1.321392
522147.000000,-1641889.127593,-3664874.720886,4939966.148035,1.977947,0.782796,0.935191,1.219570,1.321358
522149.000000,-1641889.193722,-3664874.793663,4939965.942604,1.922033,0.782778,0.935132,1.219513,1.321288
522150.000000,-1641889.080007,-3664875.306936,4939966.528386,1.651347,0.782769,0.935102,1.219485,1.321254
522151.000000,-1641889.080692,-3664875.450001,4939966.391531,1.531075,0.782760,0.935072,1.219456,1.321219
522152.000000,-1641889.020603,-3664875.437864,4939966.112284,1.667755,0.782751,0.935043,1.219428,1.321184
522154.000000,-1641889.269525,-3664875.320047,4939966.389653,1.477937,0.782733,0.934983,1.219370,1.321114
522155.000000,-1641889.619307,-3664875.280343,4939966.528282,1.458796,0.782724,0.934953,1.219342,1.321080
522156.000000,-1641889.401500,-3664875.486376,4939966.685222,1.238310,0.782715,0.934923,1.219313,1.321045
522157.000000,-1641889.295388,-3664874.804158,4939966.113278,1.912972,0.782706,0.934893,1.219284,1.321010
522159.000000,-1641889.297402,-3664875.553945,4939967.038297,1.047553,0.782688,0.934833,1.219226,1.320939
522160.000000,-1641889.123809,-3664875.391168,4939966.391107,1.257916,0.782679,0.934803,1.219197,1.320904
522161.000000,-1641889.059849,-3664875.271413,4939966.435765,1.523686,0.782670,0.934773,1.219169,1.320869
522163.000000,-1641888.801251,-3664875.456003,4939966.207941,1.574662,0.782652,0.934712,1.219111,1.320799
522164.000000,-1641889.331179,-3664875.436708,4939966.309959,1.368479,0.782643,0.934682,1.219081,1.320763
522165.000000,-1641889.194286,-3664875.484064,4939966.015329,1.558884,0.782633,0.934652,1.219052,1.320728
522166.000000,-1641888.815688,-3664875.046434,4939965.954714,1.809423,0.782624,0.934621,1.219023,1.320693
522168.000000,-1641888.922060,-3664875.345628,4939966.183457,1.552894,0.782606,0.934560,1.218965,1.320622
522169.000000,-1641889.242606,-3664875.404765,4939965.910205,1.687174,0.782597,0.934530,1.218936,1.320586
522170.000000,-1641888.841073,-3664875.503154,4939965.859795,1.700503,0.782588,0.934499,1.218906,1.320551
522171.000000,-1641888.934120,-3664875.149530,4939965.529518,2.149226,0.782579,0.934469,1.218877,1.320515
522173.000000,-1641889.325301,-3664875.510552,4939966.113292,1.571008,0.782561,0.934407,1.218818,1.320444
522174.000000,-1641889.025588,-3664875.491222,4939966.242754,1.432455,0.782552,0.934377,1.218789,1.320408
522175.000000,-1641889.171462,-3664875.443544,4939966.348936,1.310439,0.782542,0.934346,1.218760,1.320372
522176.000000,-1641889.304849,-3664875.531199,4939966.495007,1.200746,0.782533,0.934315,1.218730,1.320337
522178.000000,-1641888.422243,-3664875.517490,4939966.419630,1.610773,0.782515,0.934253,1.218671,1.320265
522179.000000,-1641888.984975,-3664875.409369,4939966.091872,1.864300,0.782506,0.934222,1.218641,1.320229
522180.000000,-1641889.182393,-3664875.036075,4939965.811191,1.978375,0.782497,0.934191,1.218612,1.320193
522182.000000,-1641889.350801,-3664875.539649,4939966.592927,1.388569,0.782478,0.934129,1.218552,1.320121
522183.000000,-1641889.048929,-3664875.261778,4939966.228267,1.713066,0.782469,0.934098,1.218523,1.320085
522184.000000,-1641889.093815,-3664875.157496,4939966.424655,1.533382,0.782460,0.934067,1.218493,1.320049
522185.000000,-1641889.453730,-3664875.381071,4939966.874846,1.162297,0.782451,0.934036,1.218463,1.320012
522187.000000,-1641888.985777,-3664875.582791,4939966.960363,1.223507,0.782432,0.933973,1.218403,1.319940
522188.000000,-1641889.086187,-3664875.257035,4939966.817155,1.341915,0.782423,0.933942,1.218373,1.319904
522189.000000,-1641889.027743,-3664875.159956,4939966.577859,1.647884,0.782414,0.933911,1.218343,1.319867
522190.000000,-1641889.468772,-3664874.928788,4939965.475947,2.057044,0.782405,0.933879,1.218313,1.319831
522192.000000,-1641888.987933,-3664875.150805,4939965.954577,2.096180,0.782386,0.933816,1.218253,1.319758
522193.000000,-1641888.658699,-3664874.971326,4939965.701443,2.177660,0.782377,0.933785,1.218223,1.319722
522194.000000,-1641888.910280,-3664875.327609,4939965.779483,1.923974,0.782368,0.933753,1.218193,1.319685
522195.000000,-1641888.992644,-3664874.934936,4939965.813456,2.115663,0.782359,0.933722,1.218163,1.319648
522197.000000,-1641888.639085,-3664874.927669,4939965.565083,2.304617,0.782340,0.933658,1.218103,1.319575
522198.000000,-1641888.729357,-3664875.105933,4939965.688960,2.045354,0.782331,0.933627,1.218072,1.319538
522199.000000,-1641888.919998,-3664875.102003,4939965.774226,2.015342,0.782322,0.933595,1.218042,1.319502
522202.000000,-1641888.761915,-3664875.139546,4939965.526811,2.243824,0.782294,0.933499,1.217951,1.319391
522203.000000,-1641888.639982,-3664874.700089,4939966.116643,2.228334,0.782284,0.933467,1.217920,1.319354
522204.000000,-1641888.802060,-3664875.222971,4939965.816615,2.049540,0.782275,0.933435,1.217890,1.319317
522206.000000,-1641888.971364,-3664875.146230,4939965.838531,2.180847,0.782256,0.933371,1.217829,1.319243
522207.000000,-1641888.489963,-3664875.125900,4939965.604728,2.179066,0.782247,0.933339,1.217798,1.319206
522208.000000,-1641888.717395,-3664875.028562,4939965.917831,2.001391,0.782238,0.933307,1.217768,1.319169
522209.000000,-1641888.987480,-3664875.385820,4939965.971588,1.803243,0.782228,0.933275,1.217737,1.319132
522211.000000,-1641888.839210,-3664875.073937,4939966.078630,1.968653,0.782210,0.933210,1.217675,1.319057
522212.000000,-1641888.948262,-3664875.125874,4939966.115808,1.932703,0.782200,0.933178,1.217645,1.319020
522213.000000,-1641888.847903,-3664875.411606,4939965.534597,2.087362,0.782191,0.933145,1.217614,1.318983
522214.000000,-1641888.967787,-3664875.342409,4939965.879703,1.764811,0.782182,0.933113,1.217583,1.318945
522216.000000,-1641888.796887,-3664874.904048,4939965.150031,2.410329,0.782163,0.933048,1.217521,1.318870
522217.000000,-1641888.851234,-3664875.081271,4939965.260852,2.271387,0.782154,0.933016,1.217490,1.318833
522218.000000,-1641888.838780,-3664875.043429,4939965.437226,2.221107,0.782144,0.932983,1.217459,1.318795
522221.000000,-1641888.908256,-3664875.229010,4939965.483201,2.009418,0.782116,0.932885,1.217366,1.318682
522222.000000,-1641888.428243,-3664875.214704,4939965.108823,2.580943,0.782107,0.932852,1.217335,1.318645
522223.000000,-1641888.508634,-3664874.790447,4939964.925253,2.656726,0.782097,0.932819,1.217304,1.318607
522225.000000,-1641888.541211,-3664874.695569,4939965.128554,2.586540,0.782079,0.932754,1.217241,1.318531
522226.000000,-1641888.805793,-3664875.046160,4939965.582001,2.238786,0.782069,0.932721,1.217210,1.318493
522227.000000,-1641888.545819,-3664874.718655,4939964.789411,2.791222,0.782060,0.932688,1.217179,1.318455
522228.000000,-1641888.702341,-3664874.727934,4939965.174110,2.797736,0.782050,0.932655,1.217147,1.318417
522230.000000,-1641888.975941,-3664874.711369,4939965.508870,2.474491,0.782031,0.932589,1.217085,1.318341
522231.000000,-1641888.553590,-3664874.717993,4939965.424727,2.487443,0.782022,0.932556,1.217053,1.318303
522232.000000,-1641888.840638,-3664874.577354,4939965.464167,2.603926,0.782012,0.932523,1.217022,1.318265
522233.000000,-1641888.644947,-3664874.448780,4939965.426321,2.640776,0.782003,0.932489,1.216990,1.318227
522235.000000,-1641888.871918,-3664874.357734,4939965.825817,2.458308,0.781984,0.932423,1.216927,1.318150
522236.000000,-1641888.743648,-3664874.692554,4939966.048054,2.321677,0.781975,0.932389,1.216895,1.318112
522237.000000,-1641888.930012,-3664874.980407,4939966.141804,1.996304,0.781965,0.932356,1.216864,1.318074
522240.000000,-1641888.955715,-3664874.901657,4939966.119662,2.061002,0.781937,0.932256,1.216768,1.317959
522241.000000,-1641888.836226,-3664875.105856,4939965.651830,2.048660,0.781927,0.932222,1.216737,1.317920
522242.000000,-1641888.502295,-3664874.936221,4939965.443954,2.522729,0.781918,0.932189,1.216705,1.317881
522244.000000,-1641888.862396,-3664874.905528,4939965.600164,2.353933,0.781899,0.932121,1.216641,1.317804
522245.000000,-1641889.050381,-3664875.191163,4939965.994157,2.189782,0.781889,0.932088,1.216609,1.317766
522246.000000,-1641888.896913,-3664875.118420,4939966.292425,2.124582,0.781879,0.932054,1.216577,1.317727
522247.000000,-1641888.733719,-3664874.581419,4939966.196336,2.451502,0.781870,0.932020,1.216545,1.317688
522249.000000,-1641888.345379,-3664874.633612,4939965.221364,2.813827,0.781851,0.931952,1.216481,1.317611
522250.000000,-1641888.564206,-3664874.832131,4939964.960508,2.786916,0.781841,0.931918,1.216449,1.317572
522251.000000,-1641888.803546,-3664874.792919,4939965.090934,2.578178,0.781832,0.931885,1.216417,1.317533
522252.000000,-1641888.452917,-3664874.372096,4939964.508974,3.117595,0.781822,0.931851,1.216385,1.317494
522254.000000,-1641888.455881,-3664874.896417,4939965.204725,2.605734,0.781803,0.931782,1.216320,1.317416
522255.000000,-1641888.399083,-3664874.863386,4939965.182160,2.603586,0.781793,0.931748,1.216288,1.317377
522256.000000,-1641888.638767,-3664875.181597,4939965.952227,2.210026,0.781784,0.931714,1.216255,1.317338
522259.000000,-1641888.306534,-3664874.754305,4939964.785164,2.811822,0.781755,0.931611,1.216158,1.317220
522260.000000,-1641888.534500,-3664874.544478,4939964.922767,2.832368,0.781745,0.931577,1.216126,1.317181
522261.000000,-1641888.690575,-3664874.491563,4939964.821840,2.961003,0.781736,0.931543,1.216093,1.317141
522263.000000,-1641888.547380,-3664874.298508,4939965.110717,3.042529,0.781717,0.931474,1.216028,1.317063
522264.000000,-1641888.689878,-3664875.029504,4939965.642027,2.357035,0.781707,0.931439,1.215995,1.317023
522265.000000,-1641888.570709,-3664874.820617,4939965.294988,2.690635,0.781697,0.931405,1.215963,1.316984
522266.000000,-1641888.606387,-3664874.778269,4939965.232538,2.703135,0.781688,0.931370,1.215930,1.316944
522268.000000,-1641888.661690,-3664874.786229,4939965.026409,2.755656,0.781668,0.931301,1.215865,1.316865
522269.000000,-1641888.729066,-3664874.783006,4939964.900943,2.931070,0.781659,0.931266,1.215832,1.316825
522270.000000,-1641888.811555,-3664874.736265,4939965.115378,2.711202,0.781649,0.931232,1.215799,1.316786
522271.000000,-1641888.955236,-3664874.890665,4939965.220877,2.685154,0.781639,0.931197,1.215766,1.316746
522273.000000,-1641888.686380,-3664875.112077,4939965.329018,2.528114,0.781620,0.931127,1.215700,1.316666
522274.000000,-1641888.409329,-3664875.013863,4939964.903700,2.764623,0.781610,0.931092,1.215667,1.316627
522275.000000,-1641888.755635,-3664875.465564,4939965.427535,2.335915,0.781601,0.931057,1.215634,1.316587
522278.000000,-1641888.057321,-3664874.678199,4939964.463729,3.264609,0.781572,0.930952,1.215535,1.316467
522279.000000,-1641888.210230,-3664874.980767,4939965.455875,2.602013,0.781562,0.930917,1.215502,1.316427
522280.000000,-1641888.364989,-3664874.626188,4939965.048172,2.847137,0.781552,0.930882,1.215469,1.316387
522282.000000,-1641888.025478,-3664874.495725,4939964.336828,3.269645,0.781533,0.930812,1.215403,1.316306
522283.000000,-1641888.831568,-3664874.809294,4939965.052509,2.599966,0.781523,0.930776,1.215369,1.316266
522284.000000,-1641888.229800,-3664874.956046,4939965.147724,2.610355,0.781513,0.930741,1.215336,1.316226
522285.000000,-1641888.683623,-3664874.690454,4939965.283614,2.795536,0.781503,0.930706,1.215303,1.316186
522287.000000,-1641888.482948,-3664874.632599,4939964.880812,2.898679,0.781484,0.930635,1.215236,1.316105
522288.000000,-1641888.465969,-3664874.753138,4939965.104356,2.633565,0.781474,0.930599,1.215202,1.316064
522289.000000,-1641889.057854,-3664875.555749,4939965.308739,2.092154,0.781464,0.930564,1.215169,1.316024
522290.000000,-1641889.033963,-3664874.942792,4939965.383312,2.435054,0.781455,0.930528,1.215135,1.315983
522292.000000,-1641888.874207,-3664875.155343,4939964.833613,2.376587,0.781435,0.930457,1.215068,1.315902
522293.000000,-1641888.695156,-3664875.180373,4939964.919211,2.428581,0.781425,0.930421,1.215035,1.315862
522294.000000,-1641888.816513,-3664875.282995,4939965.343843,2.225763,0.781415,0.930386,1.215001,1.315821
522297.000000,-1641888.364069,-3664874.892104,4939964.409881,2.961056,0.781386,0.930278,1.214900,1.315699
522298.000000,-1641888.377605,-3664874.930098,4939964.382700,2.885940,0.781376,0.930242,1.214866,1.315658
522299.000000,-1641888.449242,-3664874.738808,4939964.255745,3.074115,0.781366,0.930206,1.214832,1.315617
522301.000000,-1641888.651241,-3664875.322585,4939964.794553,2.605763,0.781347,0.930134,1.214764,1.315535
522302.000000,-1641888.277693,-3664874.897515,4939963.951125,3.056205,0.781337,0.930098,1.214731,1.315494
522303.000000,-1641888.434489,-3664875.085552,4939963.872633,2.969090,0.781327,0.930062,1.214697,1.315453
522304.000000,-1641889.550982,-3664875.040579,4939966.637479,1.453627,0.844594,1.064989,1.359243,1.484353
522306.000000,-1641889.294767,-3664874.993131,4939966.959201,1.730199,0.844600,1.065001,1.359256,1.484361
522307.000000,-1641889.333074,-3664874.898541,4939966.052651,2.133025,0.844603,1.065007,1.359262,1.484364
522308.000000,-1641889.644730,-3664875.940768,4939967.204174,1.189723,0.844605,1.065013,1.359269,1.484368
522309.000000,-1641889.942757,-3664875.580200,4939967.066008,1.213410,0.844608,1.065019,1.359275,1.484371
522311.000000,-1641889.494231,-3664875.188596,4939966.488094,1.565830,0.844614,1.065030,1.359287,1.484378
522312.000000,-1641889.149995,-3664875.661998,4939966.661616,1.178317,0.844616,1.065036,1.359293,1.484381
522313.000000,-1641889.590157,-3664875.655797,4939966.473197,1.288352,0.844619,1.065042,1.359299,1.484384
522316.000000,-1641889.283933,-3664874.909727,4939965.784855,2.040605,0.844627,1.065058,1.359317,1.484393
522317.000000,-1641889.244182,-3664875.001327,4939966.116670,1.990607,0.844629,1.065063,1.359323,1.484396
522318.000000,-1641889.779520,-3664875.588544,4939966.535439,1.445484,0.844632,1.065069,1.359329,1.484398
522320.000000,-1641889.542980,-3664875.373942,4939966.878745,1.414771,0.844637,1.065079,1.359340,1.484404
522321.000000,-1641889.401014,-3664875.103245,4939966.612496,1.656988,0.844640,1.065084,1.359346,1.484406
522322.000000,-1641889.766595,-3664875.814126,4939967.271027,1.143983,0.844642,1.065089,1.359351,1.484409
522323.000000,-1641889.321867,-3664875.808275,4939966.344002,1.357849,0.844645,1.065094,1.359357,1.484411
522325.000000,-1641889.281031,-3664875.346702,4939966.385153,1.780273,0.844650,1.065104,1.359367,1.484416
522326.000000,-1641889.793481,-3664875.564662,4939967.098504,1.242183,0.844652,1.065109,1.359373,1.484418
522327.000000,-1641889.261389,-3664875.589397,4939966.486834,1.459205,0.844655,1.065113,1.359378,1.484420
522328.000000,-1641889.436974,-3664875.637107,4939966.933120,1.153509,0.844657,1.065118,1.359383,1.484422
522330.000000,-1641889.589681,-3664875.637323,4939966.753154,1.276508,0.844662,1.065127,1.359393,1.484426
522331.000000,-1641889.601768,-3664875.961364,4939966.720587,1.162003,0.844664,1.065131,1.359398,1.484427
522332.000000,-1641889.900611,-3664875.786323,4939967.336984,0.777368,0.844667,1.065136,1.359403,1.484429
522335.000000,-1641889.984914,-3664875.906650,4939967.100174,0.849446,0.844674,1.065148,1.359417,1.484434
522336.000000,-1641889.572977,-3664875.615683,4939966.441085,1.280755,0.844676,1.065152,1.359422,1.484435
522337.000000,-1641889.251696,-3664875.489457,4939966.091735,1.587584,0.844678,1.065156,1.359426,1.484437
